ward,issued_tickets_count,paid_tickets_count,collected_tickets_pct,net_payments_usd
42,228792,144257,0.6305,13462167.61
44,101785,72114,0.7085,6002675.84
25,92174,63625,0.6903,5596992.69
2,90962,64629,0.7105,5433652.2600000026
1,77687,57041,0.7342,4866524.0500000007
43,70709,53774,0.7605,4612011.3800000008
27,82603,49350,0.5974,4569840.2
4,61038,36616,0.5999,3472255.14
3,55402,32056,0.5786,2868659.35
47,42679,33164,0.7771,2831411.5300000003
32,40984,30109,0.7347,2760903.9600000009
46,44572,30428,0.6827,2678455.7300000004
35,40710,27015,0.6636,2551856.290000001
5,43677,22958,0.5256,2327712.54
31,38034,23448,0.6165,2323382.1199999996
26,38432,24078,0.6265,2318499.21
49,36551,23765,0.6502,2304320.8299999991
40,36620,25092,0.6852,2271163.8000000007
28,48462,21949,0.4529,2255650.1300000004
33,32910,23050,0.7004,2218109.87
30,34808,22025,0.6328,2216512.29
11,35209,23262,0.6607,2128560.7500000005
14,34404,18959,0.5511,2061646.4200000004
12,31269,18669,0.597,1863545.1500000006
50,31028,19619,0.6323,1849510.2100000002
15,30461,16273,0.5342,1692226.17
23,28861,17583,0.6092,1689202.7099999997
48,27826,19661,0.7066,1686153.1500000001
22,25765,14572,0.5656,1454497.3300000003
45,22158,14540,0.6562,1435137.49
36,21606,12991,0.6013,1352956.91
6,32772,11091,0.3384,1333249.7499999995
39,21184,13025,0.6149,1313617.4899999998
29,28519,10162,0.3563,1217246.3699999999
20,28828,10434,0.3619,1195079.8100000003
16,27824,10268,0.369,1192830.64
24,32561,10635,0.3266,1141604.15
17,26574,8755,0.3295,1111525.01
8,26308,9385,0.3567,1108811.9
37,26116,8867,0.3395,1102871.95
38,15760,9941,0.6308,1044315.29
21,23135,7407,0.3202,1009769.75
13,15351,9038,0.5888,982504.95000000019
41,17710,11070,0.6251,980787.83000000007
7,24041,7970,0.3315,959893.20000000007
10,14987,7415,0.4948,788404.52
9,18244,6399,0.3507,781779.7899999998
34,17792,4971,0.2794,700182.19000000006
19,10030,5636,0.5619,677191.08999999985
18,10844,4478,0.4129,546747.62